COVENTRY EAGLE, 
BMW, R 1200 GS ADVENTURE XE
BMW, R 1200 GS ENDURO
BMW, R 1200 GS RALLYE
BMW, R 1200 GS TE
BMW, R 1200 GS TRIPLEBLACK
BMW, R 1200 INDEPENDENT
BMW, R1200R
BMW,  R 1200 R 
BMW, R 1200 R
BMW, R 1200 R 
BMW, R 1200 R 90 YEARS
BMW, R 1200 R CLASSIC
BMW, R 1200 R DARKWHITE SPECIAL MODEL
BMW, R 1200 RS
BMW, R1200RT
BMW,  R 1200 RT 
BMW, R 1200 RT
BMW, R 1200 RT 
BMW, R 1200 RT LE
BMW, R 1200 RT POLICE
BMW, R 1200 RT SE
BMW, R1200S
BMW, R 1200 S
BMW, R1200ST
BMW, R 1200 ST
XISPA, R125
BETA, R 125 4T
TGB, R125X
BMW, R12 SINGLE CARB
BMW, R12 TWIN CARB
CONFEDERATE, R131 FIGHTER
CONFEDERATE, R135 WRAITH COMBAT
ROMET, R 150
BMW, R 16
BMW, R 16 SERIES 1
BMW, R16 SERIES 3
BMW, R16 SERIES 4
BMW, R16 SERIES 5
BMW, R17
SYM, R1-Z 125
LEM, R2
BMW, R20
HERCULES, R 200
BMW, R23
BMW, R24
BMW, R25
XISPA, R250
ROMET, R 250
BMW, R25 2
BMW, R25 3
BMW, R26
BMW, R27
XISPA, R280
BMW, R28 MILITARY
BMW, R 2 SERIES 1
BMW, R2 SERIES 1
BMW, R2 SERIES2A
BMW, R2 SERIES 3
BMW, R2 SERIES 4
BMW, R2 SERIES 5
LEM, R3
YAMAHA, R 3
CCM, R30
CCM, R30 SUPERMOTO
BMW, R32
BMW, R35
BMW, R37
BMW, R39
BMW, R42
CCM, R45
BMW, R 45
BMW, R 45 (REDUCED EFFECT)
BMW, R47
BMW, R4 SERIES 1
BMW, R4 SERIES 2
BMW, R4 SERIES 3
BMW, R4 SERIES 4
BMW, R4 SERIES 5
BMW, R5
YAMAHA, R 5
BMW, R50
BMW, R50 2
BMW, R 50-5
BMW, R50 5
BMW, R50 OS
BMW, R50US
TGB, R50X
TGB, R 50 X
BMW, R51
BMW, R51 2
BMW, R51 3
BMW, R52
BMW, R57
YAMAHA, R 5 F
BMW, R6
BMW, R 60
BMW, R 60 2
BMW, R 60 5
BMW, R 60-5
BMW, R 60/5
BMW, R 60/6
BMW, R 60/7
BMW, R60US
BMW, R61
BMW, R62
BMW, R63
BMW, R65
BMW, R 65
BMW, R 65 GS
BMW, R 65 G/S
BMW, R 65 LS
BMW, R 65 (REDUCED EFFECT)
BMW, R65 (REDUCED EFFECT)
BMW, R66
BMW, R67
BMW, R67 2
BMW, R67 3
BMW, R68
BMW, R69
BMW, R69S
BMW, R69US
AJS, R7
BMW, R71
BMW, R 75-5
BMW, R 75/5
BMW, R75 5
BMW, R 75-6
BMW, R 75/6
BMW, R 75/7
ZNEN, R8
BMW, R80
BMW, R 80
BMW, R 80/7
BMW, R 80/7 (REDUCED EFFECT)
BMW, R 80 GS
BMW, R 80 G/S
BMW, R 80 GS BASIC
BMW, R 80 G/S PARIS-DAKAR
BMW, R 80 GS PARIS-DAKAR
BMW, R 80 RT
BMW, R 80 RT (REDUCED EFFECT)
BMW, R 80 ST
BMW, R 850
BMW, R 850 AVANTGARDE C
BMW, R 850 C
BMW, R 850 C AVANTGARDE
BMW, R 850 C CLASSIC
BMW, R 850 C/R 850 C AVANTGARDE
BMW, R 850 GS
BMW, R 850 R
BMW, R 850 RT
BMW, R 90/6
BMW, R 90 S
KSR, RACE 125 GT
GENERIC, RACE 2 50
KSR, RACE 50 GT
KSR, RACE 50 GT 4T
HUSQVARNA, RACER
TANK SPORTS, RACER 150
TANK SPORTS, RACER 150 DELUXE
TANK SPORTS, RACER 150 DS
TANK SPORTS, RACER 150 DS-09
COTTON, RACER 350
TANK SPORTS, RACER DS-08
TANK SPORTS, RACER TR-16-08
WAKAN, RACING
WAKAN, RACING 1640
TOMOS, RACING 25
TOMOS, RACING 45
TOMOS, RACING 50
TOMOS, RACING TT
GENERIC, RACY XOR 125
GENERIC, RACY XOR 50
CLIPIC, RADAR 125
JRL, RADIAL FLYER 2800
TITAN, RADICAL RIGID
TITAN, RADICAL RIGID CHOPPER
GAS GAS, RAGA FACTORY REPLICA 125
GAS GAS, RAGA FACTORY REPLICA 250
GAS GAS, RAGA FACTORY REPLICA 280
GAS GAS, RAGA FACTORY REPLICA 300
BIG BEAR CHOPPERS, RAGE 100 SMOOTH CARB
BIG BEAR CHOPPERS, RAGE 100 SMOOTH EFI
BIG BEAR CHOPPERS, RAGE 111 CARB
BIG BEAR CHOPPERS, RAGE 111 EFI
YAMAHA, RAIDER
GIANTCO, RAIDER 110
YAMAHA, RAIDER BULLET COWL
SUZUKI, RAIDER J
SUZUKI, RAIDER J115FI
SUZUKI, RAIDER J 115 FI
SUZUKI, RAIDER J PRO 110
SUZUKI, RAIDER R150
SUZUKI, RAIDER R 150
SUZUKI, RAIDER R150 RELOADED
YAMAHA, RAIDER S
LEHMAN TRIKES, RAIDER SPORTSTER
HYOSUNG, RALLY
HYOSUNG, RALLY 100
HYOSUNG, RALLY 50
PEUGEOT, RALLY VICTORIES 100P
DERBI, RAMBLA 125
DERBI, RAMBLA 250
DERBI, RAMBLA 250I
DERBI, RAMBLA 300I
DERBI, RAMBLA 50
HERALD, RAMBLER 250
MOTOM, RAMBO 152
ROKON, RANGER
LEXMOTO, RANGER 125
MH, RANGER 125 LC
URAL, RANGER 750
URAL, RANGER FROG
QINGQI, RANGER QM125-2F
URAL, RANGER TUNDRA
BULTACO, RAPITAN
BULTACO, RAPITAN SPORT
AMERICAN EAGLE, RAPTOR
CAGIVA, RAPTOR 1000
CAGIVA, RAPTOR 125
JOHNNY PAG, RAPTOR 300
CAGIVA, RAPTOR 650
CAGIVA, RAPTOR 650 I.E.
JOHNNY PAG, RAPTOR-X
LONGJIA, RAPTUR 125 4T
LONGJIA, RAPTUR 50 2T
GENUINE SCOOTER, RATTLER 110
QLINK, RAVE 150
QLINK, RAVE 50
AMERICAN EAGLE, RAVEN
HANWAY, RAW 125
HANWAY, RAW 50
YAMAHA, RAY Z 
YAMAHA, RAY ZR
ARDIE, RBU 350
KTM, RC 125
HONDA, RC142
KTM, RC16
KTM, RC 200
HONDA, RC213V-S
KTM, RC 250
KTM, RC 250 R
CALIFORNIA SCOOTER, RC3
KTM, RC 390
HONDA, RC 51
HONDA, RC 51 / RTV 1000 R
GILERA, RC600
GILERA, RC 600 C
GILERA, RC 600 C (REDUCED EFFECT)
GILERA, RC 600 R
GILERA, RCR
GILERA, RCR 50
YAMAHA, RD 125
YAMAHA, RD 125 DX
YAMAHA, RD 125 LC
YAMAHA, RD 200
YAMAHA, RD 200 DX
YAMAHA, RD 250
YAMAHA, RD 250 (5-SPEED)
YAMAHA, RD 250 (6-SPEED)
YAMAHA, RD 250 DX
YAMAHA, RD 250 LC
YAMAHA, RD 250 LC (REDUCED EFFECT)
YAMAHA, RD 250 (REDUCED EFFECT)
YAMAHA, RD 350
YAMAHA, RD 350 (5-SPEED)
YAMAHA, RD 350 (6-SPEED)
YAMAHA, RD350B
YAMAHA, RD 350 F
YAMAHA, RD 350 F (REDUCED EFFECT)
YAMAHA, RD 350 LC
YAMAHA, RD 350 LC YPVS
YAMAHA, RD 350 LC YPVS (REDUCED EFFECT)
YAMAHA, RD 350 N
YAMAHA, RD 350 N (REDUCED EFFECT)
YAMAHA, RD 350 (REDUCED EFFECT)
YAMAHA, RD 350R YPVS
YAMAHA, RD 400
YAMAHA, RD 400 C
YAMAHA, RD 500 LC
YAMAHA, RD 80 LC
MZ, RE125
BETA, RE 125 4T
SUZUKI, RE 5 ROTARY
FLYRITE CHOPPERS, REACH FOR THE SKY
SAXON, REAPER
BIG BEAR CHOPPERS, REAPER 100 CARB
HONDA, REBEL
HONDA, REBEL 250
HONDA, REBEL 250 ED/REBEL 250 G
HONDA, REBEL 300
HONDA, REBEL 500
VENTO, REBELLIAN
VENTO, REBELLIAN 200
LEM, RECREATIONAL CX2
LEM, RECREATIONAL CX3
LEM, RECREATIONAL FOUR X
LEM, RECREATIONAL FOUR X PRO
SUZUKI, RECURSION
DERBI, RED BULLET
BIG BEAR CHOPPERS, REDEMPTION 111 EFI
URAL, RED OCTOBER 
URAL, RED STAR
MUZ, RED STAR 500
HONDA, REFLEX
HONDA, REFLEX ABS
HONDA, REFLEX NSS 250
HONDA, REFLEX SPORT
HONDA, REFLEX SPORT ABS
AJS, REGAL-RAPTOR 125 SILVERHAWK
AJS, REGAL-RAPTOR DAYTONA 125
AJS, REGAL-RAPTOR DD125E-8 SILVERHAWK
AJS, REGAL-RAPTOR DD125 MK2
AJS, REGAL-RAPTOR DD250E
AJS, REGAL RAPTOR DD50 E-2
AJS, REGAL RAPTOR DD50E-2
AJS, REGAL RAPTOR ECO CUSTOM 125
AJS, REGAL-RAPTOR EOS-125
AJS, REGAL-RAPTOR EOS-125 MK2
AJS, REGAL RAPTOR EOS 350
HOREX, REGINA
HOREX, REGINA 350
HOREX, REGINA 400
MOTO GUZZI, REGOLARITA 250
IZUKA, REIZEI 70
UM, RENEGADE 150 LE
UM, RENEGADE 200
UM, RENEGADE 200 LE
LEHMAN TRIKES, RENEGADE DYNA
LEHMAN TRIKES, RENEGADE ROAD GLIDE
LEHMAN TRIKES, RENEGADE ROAD KING
NSU, RENNMAX
CONFEDERATE, RENOVATIO PROJECT
HOREX, RESIDENT
INTREPID, RESOLUTE CHOPPER
YAMAHA, RESONATOR 125 CONCEPT
URAL, RETRO
WK, RETRO 125 SPORT
DIAMO, RETRO 150
DIAMO, RETRO 50
URAL, RETRO 750
DIRICO, RETRO FLYER
E-TROPOLIS, RETRO LITHIUM
EMCO, RETRO NOVA R 2000
MOTOWELL, RETROSA
MOTOWELL, RETROSA 125
MOTOWELL, RETROSA 125 II
URAL, RETRO SOLO
URAL, RETRO SOLO 750
TIGER, RETRO SPORT 110
SINNIS, RETROSTAR 250
UM, REV 125
UM, REV 150
BETA, REV 3
BETA, REV 3 - 125
BETA, REV-3 125
BETA, REV 3 200
BETA, REV 3 - 200
BETA, REV-3 200
BETA, REV 3 250
BETA, REV 3 - 250
BETA, REV-3 250
BETA, REV 3 270
BETA, REV 3 - 270
BETA, REV-3 270
BETA, REV-4T
BETA, REV 4 T - 250
BETA, REV 50
BETA, REV-50
BETA, REV 80
BETA, REV-80
INTREPID, REVELATION CANYON RUNNER
TOMOS, REVIVAL
TOMOS, REVIVAL 50
TOMOS, REVIVAL TS
DERBI, REVOLUTION 50
DERBI, REVOLUTION 50 GS
SUZUKI, RF 125
REWACO, RF1 GT
REWACO, RF1 GT 1.6
REWACO, RF1 GTR 1.6 TURBO
REWACO, RF1 GTS 1.6 TURBO
REWACO, RF1 LT-2
REWACO, RF1 LT-3
REWACO, RF1 ST-2
REWACO, RF1 ST-3
SUZUKI, RF 600 R
SUZUKI, RF 900 R
SUZUKI, RF 900 RS
SUZUKI, RF 900 RS2
ORION, RFZ 125 OPEN
SUZUKI, RG 125 F
SUZUKI, RG125 GAMMA
SUZUKI, RG 250 GAMMA
SUZUKI, RG 250 W
SUZUKI, RG 400 GAMMA
SUZUKI, RG 500 GAMMA
SUZUKI, RGV 250
SUZUKI, RGV 250 GAMMA
BIG DOG, RIDGEBACK
DEMAK, RINO S
YAMAHA, RIVA 200
YAMAHA, RIVA 200Z
MV AGUSTA, RIVALE 800
CAGIVA, RIVER 500
CAGIVA, RIVER 600
MOTORINO, RIVIERA 150
KEEWAY, RK 125
KEEWAY, RK6 600I
KEEWAY, RK III 125
KEEWAY, RK III 125S
KEEWAY, RK III 150
KEEWAY, RK III 150S
KEEWAY, RK III 200
KEEWAY, RKS 125
KEEWAY, RKS 125 SPORT
KEEWAY, RKS 150
KEEWAY, RKS 150 SPORT
KEEWAY, RKS 200
KEEWAY, RKS 200S
KEEWAY, RKV 125
KEEWAY, RKV 125R
KEEWAY, RKV 150
KEEWAY, RKV 200
KEEWAY, RKV 200S
KEEWAY, RKV 200S FACTORY
CCM, RL125
CCM, RL 125
HARLEY-DAVIDSON, RLD
SUZUKI, RM 100
VUKA, RM 125
VUKA, RM 200
SUZUKI, RM250
SUZUKI, RM 250
SUZUKI, RM 250 ZK6 RICKY CARMICHAEL REPLICA
SUZUKI, RM 400 C
SUZUKI, RM 465
SUZUKI, RM 60
SUZUKI, RM 65
SUZUKI, RM 80
SUZUKI, RM85
SUZUKI, RM 85
SUZUKI, RM85L
SUZUKI, RM 85 L
KREIDLER, RMC-E 125 DD SPORT
KREIDLER, RMC-E 125 HIKER
KREIDLER, RMC-E 50
KREIDLER, RMC-E 50 HIKER
KREIDLER, RMC-E HIKER 50 AMAZE
KREIDLER, RMC-E HIKER 50 DD SPORT
KREIDLER, RMC-E HIKER ELECTRO
KREIDLER, RMC-G 125
KREIDLER, RMC-G 125 EL NINJO
KREIDLER, RMC-G 50
KREIDLER, RMC-G 50 EL NINJO
KREIDLER, RMC-G 50 VENTURI
KREIDLER, RMC-H 125 DD
KREIDLER, RMC-H 125 DD GALACTICA
KREIDLER, RMC-H 50 DD
KREIDLER, RMC-H 50 DD GALACTICA
KREIDLER, RMC-H GALACTICA 125 DD
KREIDLER, RMC-H GALACTICA 50 DD
VALENTI, RME 50
VALENTI, RME FACTORY 50
VALENTI, RME RACE 50
SUZUKI, RMX450Z
SUZUKI, RM-Z250
SUZUKI, RM-Z 250
SUZUKI, RM-Z450
SUZUKI, RM-Z 450
SUZUKI, RMZ 450
SUZUKI, RM-Z 450 CARMICHAEL REPLICA
BMW, R NINET
BMW, R NINE T
BMW, R NINET PURE
BMW, R NINET RACER
BMW, R NINE T SCRAMBLER
BMW, R NINET SCRAMBLER
BMW, R NINET URBAN GS
WAKAN, ROAD
WAKAN, ROAD 1640
HARLEY-DAVIDSON, ROAD GLIDE
HARLEY-DAVIDSON, ROAD GLIDE CUSTOM
HARLEY-DAVIDSON, ROAD GLIDE SPECIAL
HARLEY-DAVIDSON, ROAD GLIDE ULTRA
TOMOS, ROADIE
HARLEY-DAVIDSON, ROAD KING
HARLEY-DAVIDSON, ROAD KING 110TH ANNIVERSARY
HARLEY-DAVIDSON, ROAD KING CLASSIC
HARLEY-DAVIDSON, ROAD KING FIRE - RESCUE
HARLEY-DAVIDSON, ROAD KING POLICE
YAMAHA, ROADLINER
YAMAHA, ROADLINER MIDNIGHT
YAMAHA, ROADLINER S
YAMAHA, ROADLINER XV1900A
INDIAN, ROADMASTER
TITAN, ROADRUNNER
PGO, ROADSHOW 50
PGO, ROADSHOW 90
DAELIM, ROADSPORT
DAELIM, ROADSPORT 125
DAELIM, ROADSPORT 250
DAELIM, ROADSPORT  250
PAGSTA, ROADSTA
PAGSTA, ROADSTA 50
MASH, ROADSTAR
YAMAHA, ROAD STAR
YAMAHA, ROAD STAR 1700
YAMAHA, ROAD STAR MIDNIGHT
YAMAHA, ROAD STAR MIDNIGHT SILVERADO
YAMAHA, ROAD STAR MIDNIGHT SILVERADO 1700
YAMAHA, ROAD STAR S
YAMAHA, ROAD STAR SILVERADO
YAMAHA, ROAD STAR SILVERADO 1700
YAMAHA, ROAD STAR SILVERADO S
YAMAHA, ROAD STAR WARRIOR 1700
VOXAN, ROADSTER
SACHS, ROADSTER 125
SACHS, ROADSTER 125 V2
CAGIVA, ROADSTER 200
SACHS, ROADSTER 650
SACHS, ROADSTER 800
MIDUAL, ROADSTER 900
SACHS, ROADSTER V 1.6
ADLY, ROAD TRACER 50
ADLY, ROAD TRACER 90
ICE BEAR, ROAD WARRRIOR 250 TRIKE
DAELIM, ROADWIN
DAELIM, ROADWIN 125
DAELIM, ROADWIN R 125 FI
DAELIM, ROADWIN R 125 F.I.
HERALD, ROAMER 250
BSA MOTORS, ROAMER ABLE
BSA MOTORS, ROAMER NUO
ZNEN, ROAR
GENERIC, ROC 50
BSA, ROCKET 3
TRIUMPH, ROCKET III
TRIUMPH, ROCKET III CLASSIC
TRIUMPH, ROCKET III CLASSIC TOURER
TRIUMPH, ROCKET III ROADSTER
TRIUMPH, ROCKET III TOURING
TRIUMPH, ROCKET X
BMW, ROCKSTER
TVS, ROCKZ
MAHINDRA, RODEO
PRO-ONE, ROGUE SOFTAIL PRO-STREET
ITALJET, ROLLER CRAFT 50
ZÜNDAPP, ROLLER SUPER
HEADBANGER, ROLL ME AWAY
DAFIER, ROMA 50
PUMA, ROTTALER 125 CROSS
PUMA, ROTTALER 125 MOTARD
PUMA, ROTTALER 250 CROSS
PUMA, ROTTALER 250 MOTARD
PUMA, ROTTALER 50 CROSS
GENUINE SCOOTER, ROUGHHOUSE R50
GENUINE SCOOTER, ROUGHHOUSE SPORT
LIFAN, ROYAL 250
GIANTCO, ROYALE II 125
ENFIELD, ROYAL  INTERCEPTOR 
YAMAHA, ROYAL STAR MIDNIGHT VENTURE 1300
YAMAHA, ROYAL STAR TOUR DELUXE
YAMAHA, ROYAL STAR VENTURE
YAMAHA, ROYAL STAR VENTURE S
VICTORY, RR
BETA, RR 125 4T
BETA, RR 125 4T MOTARD
BETA, RR 125 4T SUPERMOTARD
BETA, RR 125 ENDURO
RIEJU, RR 125 FUN BIKE
BETA, RR 125 MOTARD
RIEJU, RR 2000
BETA, RR 250
BETA, RR 250M
BETA, RR 400
BETA, RR 450
BETA, RR 450 4-STROKE
BETA, RR 4T 250
BETA, RR 4T 400
BETA, RR 4T 450
BETA, RR 4T 525
BETA, RR 50
BETA, RR 50 ALU
BETA, RR 50 EDURO ALU
BETA, RR 50 ENDURO
BETA, RR 50 ENDURO RACING
BETA, RR 50 ENDURO RACING EURO 2
BETA, RR 50 ENDURO STD EURO 2
BETA, RR 50 MOTARD
BETA, RR 50 MOTARD ALU
BETA, RR 50 MOTARD RACING
BETA, RR 50 MOTARD TRACK
BETA, RR 50 RACING MOTARD
BETA, RR 525 4-STROKE
PRC (PRO RACING CYCLES), RR-65
RIEJU, RR CASTROL
BETA, RR ENDURO 350 4T
BETA, RR ENDURO 4T 125
BETA, RR ENDURO 50
BETA, RR ENDURO 50 ALU
BETA, RR ENDURO 50 RACING
BETA, RR ENDURO 50 STANDARD
BETA, RR MOTARD 50
BETA, RR MOTARD 50 ALU
BETA, RR MOTARD 50 STANDARD
RIEJU, RR SPORT EDITION
RIEJU, RRX 50
RIEJU, RRX SPIKE 50
READING STANDARD, R-S
YAMAHA, RS 100
YAMAHA, RS 100 DX
YAMAHA, RS 100 TOURQUE INDUCTION
APRILIA, RS 125
SWM, RS 125 R
APRILIA, RS 125 REPLICA
APRILIA, RS 125 REPLICA ALITALIA
APRILIA, RS 125 REPLICA SBK
APRILIA, RS 125 TUONO
RIEJU, RS1 CASTROL
RIEJU, RS1 EVOLUTION
RIEJU, RS-1 EVOLUTION RACING
RIEJU, RS1 RACING
YAMAHA, RS200
YAMAHA, RS 200
RIEJU, RS2 125
RIEJU, RS2 125  
RIEJU, RS2_125 PRO
DIAMO, RS250
DIAMO, RS 250
RIEJU, RS2 50 FR
RIEJU, RS2 50 FR  
RIEJU, RS 2 MATRIX
RIEJU, RS-2 MATRIX
RIEJU, RS2 MATRIX
RIEJU, RS2 NKD
RIEJU, RS2 PRO 125
RIEJU, RS2 PRO 125  
RIEJU, RS2 PRO 125 BLACK EDITION
RIEJU, RS2 PRO 50
RIEJU, RS2 PRO 50  
SWM, RS 300 R
RIEJU, RS3 125  
RIEJU, RS3 125  NKD
SWM, RS 340 S
RIEJU, RS3 50  
RIEJU, RS3 50  PRO
RIEJU, RS3 NKD 125
RIEJU, RS3 NKD 50
APRILIA, RS4 125
APRILIA, RS4 125 REPLICA
APRILIA, RS4 50
APRILIA, RS4 50 REPLICA
KYMCO, RS 50
RIEJU, RS 50 
SWM, RS 500 R
APRILIA, RS 50 REPLICA
APRILIA, RS 50 REPLICA ALITALIA
APRILIA, RS 50 REPLICA SBK
ZÜNDAPP, RS 50 ROLLER SUPER
APRILIA, RS 50 TUONO
SWM, RS 650 R
RIEJU, RS BLAST URBAN 
SINNIS, RS ELITE
RIEJU, RS NKD
RIEJU, RS SPORT  
APRILIA, RST 1000 FUTURA
MALAGUTI, RST 50
APRILIA, RSV 1000R
APRILIA, RSV 1000 R
APRILIA, RSV 1000 R FACTORY
APRILIA, RSV 1000R FACTORY
APRILIA, RSV4 FACTORY
APRILIA, RSV4 FACTORY ABS
APRILIA, RSV4 FACTORY APRC
APRILIA, RSV4 FACTORY APRC ABS
APRILIA, RSV4 FACTORY APRC SE
APRILIA, RSV4 FW-GP
APRILIA, RSV4 R
APRILIA, RSV4 R ABS
APRILIA, RSV4 R APRC
APRILIA, RSV4 R APRC ABS
APRILIA, RSV4 RF
APRILIA, RSV4 R FW
APRILIA, RSV4 RR
APRILIA, RSV MILLE
APRILIA, RSV MILLE 1000
APRILIA, RSV MILLE 1000 R
APRILIA, RSV MILLE 1000 R FACTORY
APRILIA, RSV MILLE 1000 R NERA
APRILIA, RSV MILLE R
APRILIA, RSV MILLE SL FALCO
APRILIA, RSV MILLE SP
ADLY, RT-100 ROAD TRACER
HYOSUNG, RT125
MZ, RT 125
DKW, RT 125 2
DKW, RT 125 2H
WK, RT 125 CAFE
HYOSUNG, RT125D
HYOSUNG, RT 125D
DKW, RT 125 E
HYOSUNG, RT 125 KARION
MZ, RT 125 STRIKER
DKW, RT 159
DKW, RT 175
DKW, RT 175 S
DKW, RT 175 VS
DKW, RT 175 W
RIKUO, RT 2
ARQIN, RT200
DKW, RT 200
DKW, RT 200 2
DKW, RT 200H
DKW, RT 200 S
DKW, RT 200 VS
DKW, RT 250 1
DKW, RT 250 2
DKW, RT 250 S
DKW, RT 250 VS
DKW, RT 350 S
ADLY, RT 50 ROADTRACER
ADLY, RT-50 ROAD TRACER
ADLY, RT-90 ROAD TRACER
TVS, RTR 165
TVS, RTR 180
TVS, RTR 450
TVS, RTR 450  AT DAKAR
MZ, RT-STRIKER
MZ, RT-STRIKER 125
HONDA, RUCKUS
HONDA, RUKUS
HONDA, RUNE
GILERA, RUNNER 125 BLACK SOUL
GILERA, RUNNER 125 WHITE SOUL
GILERA, RUNNER 50
GILERA, RUNNER 50 BLACK SOUL
GILERA, RUNNER 50 SP SIMONCELLI
GILERA, RUNNER 50 WHITE SOUL
GILERA, RUNNER PURE JET
GILERA, RUNNER PURE JET 50
GILERA, RUNNER PUREJET 50
GILERA, RUNNER SC 125
GILERA, RUNNER SC 50
GILERA, RUNNER SP 50
GILERA, RUNNER ST 125
GILERA, RUNNER ST 200
GILERA, RUNNER VX125
GILERA, RUNNER VX 125
GILERA, RUNNER VXR 200
GILERA, RUNNER WHITE SOUL
HYOSUNG, RUSH 50
SYM, RV1
SUZUKI, RV 125
SUZUKI, RV 125 VANVAN
GILERA, RV 200
SUZUKI, RV 90
HONDA, RVF 400 RT
HONDA, RVF 750 / RC 45
HONDA, RVF 750 (RC-45)
HONDA, RVF / RC 45
HONDA, RVT 1000 R / RC 51
YAMAHA, RX 100
APRILIA, RX 125
GILERA, RX 125 ARIZONA
HYOSUNG, RX 125D-E
HYOSUNG, RX125D-E
HYOSUNG, RX 125D-SM
HYOSUNG, RX125D SM
MOTORHISPANIA, RX 125R
HYOSUNG, RX125SM
HYOSUNG, RX 125 SM
ROMET, RX 125 TOUR
YAMAHA, RX135
LEM, RX 150 RACING
LEM, RX2
GILERA, RX 200 ARIZONA
GILERA, RX 200 ENDURO
MOTORS EUROPE, RX250
APRILIA, RX 250
MOTORS EUROPE, RX250R
LEM, RX2 MOTARD
LEM, RX2 MOTARD 70CC
MOTORHISPANIA, RX2 RACING
KEEWAY, RX3
CALIFORNIA SCOOTER, RX-3
JOHNNY PAG, RX 320I
LEM, RX3 RACING
CALIFORNIA SCOOTER, RX-3 SE
APRILIA, RX 50
MOTORHISPANIA, RX 50R
APRILIA, RX 50 RACING
MOTORHISPANIA, RX 50 SUPER RACING
LEM, RX 65
LEM, RX 65 RACING
MOTORHISPANIA, RX RACING
MOTORHISPANIA, RX SUPER RACING
APRILIA, RXV 4.5
APRILIA, RXV450
APRILIA, RXV 5.5
APRILIA, RXV550
KEEWAY, RY6
KEEWAY, RY6 50
KEEWAY, RY6 50 2T
KEEWAY, RY8 50
VENTO, RYDER 150
MOTORHISPANIA, RYZ 49 CITY
MOTORHISPANIA, RYZ 49 OFF ROAD
MOTORHISPANIA, RYZ 49 PRO RACING OFF ROAD
MOTORHISPANIA, RYZ 49 PRO RACING SUPERMOTARD
MOTORHISPANIA, RYZ 49 PRO RACING URBAN
MOTORHISPANIA, RYZ 49 SUPERMOTARD
MOTORHISPANIA, RYZ 49 URBAN
MOTORHISPANIA, RYZ 49 URBANBIKE
MOTORHISPANIA, RYZ 50 ENDURO
MOTORHISPANIA, RYZ 50 PRO RACING ENDURO
MOTORHISPANIA, RYZ 50 PRO RACING SUPER MOTARD
MOTORHISPANIA, RYZ 50 PRO RACING URBAN BIKE
MOTORHISPANIA, RYZ 50 SUPER MOTARD
MOTORHISPANIA, RYZ 50 URBAN BIKE
MOTORHISPANIA, RYZ ENDURO
MOTORHISPANIA, RYZ PRORACING
MOTORHISPANIA, RYZ PRO RACING 49 OFF ROAD
MOTORHISPANIA, RYZ PRO RACING 49 SUPERMOTARD
MOTORHISPANIA, RYZ PRO RACING 49 URBANBIKE
MOTORHISPANIA, RYZ PRO RACING ENDURO
MOTORHISPANIA, RYZ PRO RACING SUPER MOTARD
MOTORHISPANIA, RYZ PRO RACING URBAN BIKE
MOTORHISPANIA, RYZ PRO URBAN
MOTORHISPANIA, RYZ SM
MOTORHISPANIA, RYZ SM URBAN
MOTORHISPANIA, RYZ SUPERMOTARD
MOTORHISPANIA, RYZ SUPER MOTARD
MOTORHISPANIA, RYZ URBAN BIKE
CALIFORNIA SCOOTER, RZ3
YAMAHA, RZ 350
YAMAHA, RZ 50
VESPA, S
DAELIM, S1
BMW, S 1000 R
BMW,  S 1000 RR 
BMW, S 1000 RR
BMW, S 1000 R SPORT
BMW, S 1000 XR
HONDA, S 110
DAELIM, S1 125
IZUKA, S125
VESPA, S 125
HARLEY-DAVIDSON, S-125
IZUKA, S125B
TORROT, S12 SIC58
VESPA, S 150
VESPA, S 150 I.E.
VESPA, S 150 IE.
VESPA, S 150 SPORT SE
PEUGEOT, S157
BUELL, S1 LIGHTNING
DAELIM, S2 125
DAELIM, S2 125 FI
DAELIM, S2 125 FI FREEWING
DAELIM, S2 250
BUELL, S2-T
DAELIM, S3
DAELIM, S3 125
ZEV, S-3600
DAELIM, S3 ADVANCE
DAELIM, S3 ADVANCE 250
BUELL, S3 THUNDERBOLT
BUELL, S3T THUNDERBOLT
DUCATI, S4
ZEV, S-4100
DAELIM, S4 50
VERTEMATI, S 450 E MOTARD
VERTEMATI, S 450 MOTARD
IZUKA, S50
VESPA, S 50
VERTEMATI, S 501 E MOTARD
VERTEMATI, S 501 MOTARD
VESPA, S 50 4V
VESPA, S 50 SPORT SE
SIMSON, S51 B1-4
SIMSON, S51 N
DAELIM, S5 50
VERTEMATI, S 570 E MOTARD
VERTEMATI, S 570 MOTARD
SAROLEA, S6
ZEV, S-6000 L
ZEV, S-6100
ZEV, S-7100
SUNBEAM, S7 500
SUNBEAM, S8 500
ZEV, S-8500 LR
ZNEN, SABERTOOTH TIGER 150
HONDA, SABRE
HONDA, SABRE ABS
DF MOTOR, SAKYA125
DF MOTOR, SAKYA 50
YAMAHA, SALUTO DISK BRAKE
YAMAHA, SALUTO RX
TAURIS, SAMBA 50 2T ART
TAURIS, SAMBA 50 2T ART COLLECTION
TAURIS, SAMBA 50 2T RACING
CLIPIC, SAMURAI 125
CLIPIC, SAMURAI 125CC
QLINK, SAPERO 250
PEUGEOT, SATELIS 125
PEUGEOT, SATELIS 125 AVENUE
PEUGEOT, SATELIS 125 BLACK SAT
